epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,139.601,0.56999,0.80065,0.85408,0.9938,0.99871,0.99489,0.87594,0.51654,0.45345,0.82678,0.000664794,0.000664794,0.000664794
1,103.848,0.56999,0.80065,0.85408,0.9938,0.99871,0.99489,0.87594,0.51654,0.45345,0.82678,0.000664794,0.000664794,0.000664794
2,285.587,0.5301,0.44014,0.83048,0.99297,1,0.99495,0.88648,0.50102,0.36194,0.82572,0.0013051,0.0013051,0.0013051
2,229.351,0.5301,0.44014,0.83048,0.99297,1,0.99495,0.88648,0.50102,0.36194,0.82572,0.0013051,0.0013051,0.0013051
3,420.036,0.51928,0.36856,0.82922,0.99557,0.99979,0.99496,0.89009,0.48794,0.30919,0.82703,0.001919,0.001919,0.001919
3,367.88,0.51928,0.36856,0.82922,0.99557,0.99979,0.99496,0.89009,0.48794,0.30919,0.82703,0.001919,0.001919,0.001919
4,562.676,0.52422,0.33921,0.83092,0.99548,0.99377,0.99497,0.88496,0.48868,0.30208,0.8244,0.0018812,0.0018812,0.0018812
4,507.686,0.52422,0.33921,0.83092,0.99548,0.99377,0.99497,0.88496,0.48868,0.30208,0.8244,0.0018812,0.0018812,0.0018812
5,715.345,0.50882,0.30823,0.82864,0.99697,0.99733,0.99498,0.89408,0.4732,0.26769,0.82199,0.0018416,0.0018416,0.0018416
5,617.368,0.50882,0.30823,0.82864,0.99697,0.99733,0.99498,0.89408,0.4732,0.26769,0.82199,0.0018416,0.0018416,0.0018416
6,733.968,0.49547,0.28685,0.82611,0.99715,0.99911,0.9945,0.89956,0.46689,0.25125,0.82152,0.001802,0.001802,0.001802
6,885.124,0.49547,0.28685,0.82611,0.99715,0.99911,0.9945,0.89956,0.46689,0.25125,0.82152,0.001802,0.001802,0.001802
7,843.69,0.49875,0.27667,0.82598,0.99633,0.99911,0.99469,0.90242,0.45877,0.24181,0.81693,0.0017624,0.0017624,0.0017624
7,1052.95,0.49875,0.27667,0.82598,0.99633,0.99911,0.99469,0.90242,0.45877,0.24181,0.81693,0.0017624,0.0017624,0.0017624
8,956.059,0.49122,0.27055,0.82667,0.9938,0.99968,0.99497,0.90114,0.47365,0.2567,0.8199,0.0017228,0.0017228,0.0017228
